ProbeID	logFC	AveExpr	t	P.Value	adj.P.Val	B	Symbol	Name
TC0200016651.hg.1	-1.600407424259687	5.377900686582141	-8.946205023867739	3.647246952198892e-8	7.445846096392747e-4	8.162534017289794	 CYP1B1 	 cytochrome P450, family 1, subfamily B, polypeptide 1 
TC1100012513.hg.1	-0.4128078760835374	6.724360971601371	-8.574034648339975	6.94251384279044e-8	7.445846096392747e-4	7.651736088074673	 H2AFX 	 H2A histone family, member X 
TC1700010641.hg.1	-0.4291831236999669	7.6809384214517875	-7.977536795758462	2.0208603554561653e-7	0.0010298403632599997	6.787174433882201	 KRT23 	 keratin 23, type I 
TC1500010042.hg.1	-0.8412267491178672	5.348231454384383	-7.951582925418594	2.1192526283488412e-7	0.0010298403632599997	6.748243681552785	 CYP1A1 	 cytochrome P450, family 1, subfamily A, polypeptide 1 
TC1900008824.hg.1	-0.37536939978708006	7.530721409270004	-7.883767351850578	2.4005602873193465e-7	0.0010298403632599997	6.6459961778309316	 MYADM 	 myeloid-associated differentiation marker 
TC1900011382.hg.1	-0.5175402127737064	6.506660759166708	-7.612867944490995	3.973642267079539e-7	0.001420577110480935	6.229941383493309	 MYADM 	 Memczak2013 ANTISENSE, CDS, coding, INTERNAL best transcript NM_001020819 
TC0100015701.hg.1	-0.42904416742005086	6.847836230923969	-6.8952943363192345	1.5837069061367025e-6	0.004852930448090324	5.068291367859101	 HIST2H3A 	 histone cluster 2, H3a 
TC1800009242.hg.1	-1.1417411513241758	5.832456899105563	-6.806517082532896	1.8882947152411981e-6	0.004952112802771575	4.91852520091381	 SERPINB2 	 serpin peptidase inhibitor, clade B (ovalbumin), member 2 
TC0500007834.hg.1	-0.42174556182802797	6.8685466757578055	-6.758473069499092	2.077809567596465e-6	0.004952112802771575	4.83692108850467	 F2RL1 	 coagulation factor II (thrombin) receptor-like 1 
TC0200008930.hg.1	-0.5891572241212993	6.368490689238065	-6.596250574654482	2.876417216776519e-6	0.006169914929985633	4.558513388845047	 SLC20A1 	 solute carrier family 20 (phosphate transporter), member 1 
TC0700011969.hg.1	-0.2896318274049914	6.720635787630936	-6.5033878787313455	3.4705428625283367e-6	0.0061754867938371176	4.39715817901009	 MCM7 	 minichromosome maintenance complex component 7 
TC1400008054.hg.1	-0.46773664065784093	5.775710024885948	-6.466835550057644	3.7379402241758204e-6	0.0061754867938371176	4.333251971633108	 OTUB2 	 OTU deubiquitinase, ubiquitin aldehyde binding 2 
TC1100010483.hg.1	0.5473469861405851	5.856807893758886	6.46620709497215	3.7427192689921926e-6	0.0061754867938371176	4.332151271858902	 CSTF3 	 cleavage stimulation factor, 3 pre-RNA, subunit 3 
TC1600011483.hg.1	-0.38776356373744814	6.786877607866135	-6.283722719206356	5.4359542200629876e-6	0.008328658430025077	4.009779995063059	 LITAF 	 lipopolysaccharide-induced TNF factor 
TC0500007617.hg.1	0.3547705333736572	5.580358738017091	6.214134351402638	6.274628527028782e-6	0.008895127349244272	3.8854080408900886	 SREK1 	 splicing regulatory glutamine
TC0900007552.hg.1	-0.35022060095545043	5.321531916441862	-6.187127661364828	6.635060027408314e-6	0.008895127349244272	3.8369281306747522	 GDA 	 guanine deaminase 
TC0600011185.hg.1	-0.7266967754039448	8.275536390079349	-6.108281839794005	7.814435912216078e-6	0.009859979430413815	3.6947170922898467	 HIST1H2BK 	 histone cluster 1, H2bk 
TC2000007438.hg.1	-0.30633095238528674	6.59508068670439	-5.930362813090987	1.1337135568495122e-5	0.013510086552456687	3.3701651861873225	 MYBL2 	 v-myb avian myeloblastosis viral oncogene homolog-like 2 
TC0300007165.hg.1	0.41234005905016247	5.5579522212066195	5.874188388752578	1.2761094734900233e-5	0.01440660431913737	3.2666605547142007	 NKTR 	 natural killer cell triggering receptor 
